source_file,tweet_id,tweet_url,analytics_url,author_profile_url,author_name,author_handle,tweet_date_raw,tweet_date,replying_to_raw,tweet_text,tweet_text_display,tweet_text_model,mentions,hashtags,emojis,contains_simci,likes,reposts,comments,views,engagement_signal_count,engagement_confidence,engagement_raw_positions,engagement_raw_values,sentiment,sentiment_positive,sentiment_neutral,sentiment_negative,sentiment_label_es,emotion,emotion_label_es,emotion_anger,emotion_disgust,emotion_fear,emotion_joy,emotion_others,emotion_sadness,emotion_surprise,simci_stance,simci_stance_label_es,sentiment_simci_adjusted,sentiment_simci_adjusted_label_es
x-2026-02-09.csv,2020170357320077448,https://x.com/mabagoz1/status/2020170357320077448,https://x.com/mabagoz1/status/2020170357320077448/analytics,https://x.com/mabagoz1,Mauricio,@mabagoz1,Feb 7,2026-02-07,Replying to @willj84753699 and @petrogustavo,@willj84753699 @petrogustavo Con SIMCI los oligarcas colombianos estafaron en decenas de miles de millones a la USA,@willj84753699 @petrogustavo Con SIMCI los oligarcas colombianos estafaron en decenas de miles de millones a la USA,Con SIMCI los oligarcas colombianos estafaron en decenas de miles de millones a la USA,@petrogustavo|@willj84753699,,,True,1,0,0,16,1,low,col_19,1,NEG,0.025844499468803406,0.14312271773815155,0.8310328125953674,Negativo,anger,Enojo,0.7152600884437561,0.23228314518928528,0.0044351317919790745,0.005965874996036291,0.022367512807250023,0.01563062146306038,0.004057664889842272,neutral,Neutral Sobre SIMCI,NEG,Negativo
x-2026-02-09.csv,2019523995515642006,https://x.com/elimprudenteCO/status/2019523995515642006,https://x.com/elimprudenteCO/status/2019523995515642006/analytics,https://x.com/elimprudenteCO,El Imprudente,@elimprudenteCO,Feb 5,2026-02-05,Replying to @EspinosaRadio @petrogustavo and @PoliciaColombia,@EspinosaRadio @petrogustavo @PoliciaColombia Sin todavía la información de SIMCI -UNODC? Pues para confirmar ese “milagro” de San Petro. Volveremos al “diferencia de metodología”?,@EspinosaRadio @petrogustavo @PoliciaColombia Sin todavía la información de SIMCI -UNODC? Pues para confirmar ese “milagro” de San Petro. Volveremos al “diferencia de metodología”?,Sin todavía la información de SIMCI -UNODC? Pues para confirmar ese “milagro” de San Petro. Volveremos al “diferencia de metodología”?,@EspinosaRadio|@PoliciaColombia|@petrogustavo,,,True,2,0,0,292,1,low,col_19,2,NEG,0.005161881912499666,0.2608318626880646,0.7340061664581299,Negativo,others,Otros,0.008696498349308968,0.0022520243655890226,0.004219889175146818,0.0009642804507166147,0.903329610824585,0.012714173644781113,0.06782354414463043,neutral,Neutral Sobre SIMCI,NEG,Negativo
x-2026-02-09.csv,2019509551913951471,https://x.com/DanielMejiaL/status/2019509551913951471,https://x.com/DanielMejiaL/status/2019509551913951471/analytics,https://x.com/DanielMejiaL,Daniel Mejia,@DanielMejiaL,Feb 5,2026-02-05,,"@petrogustavo: 1. Con el fin de evaluar y contrastar las críticas y cuestionamientos que están haciendo desde el gobierno a las cifras de cultivos de coca y producción potencial de cocaína que produce -UNODC, les solicito que hagan @MinjusticiaCo @mindefensa Presidente Simci Revista RAYA @revistaRAYA 🚨 RAYA tuvo acceso a un documento confidencial del gobierno de que desmiente las cifras sobre producción potencial de cocaína calculadas por la ONU. El documento circula en Washington. El asunto será clave en la reunión Petro-Trump.","@petrogustavo: 1. Con el fin de evaluar y contrastar las críticas y cuestionamientos que están haciendo desde el gobierno a las cifras de cultivos de coca y producción potencial de cocaína que produce -UNODC, les solicito que hagan @MinjusticiaCo @mindefensa Presidente Simci Revista RAYA @revistaRAYA 🚨 RAYA tuvo acceso a un documento confidencial del gobierno de que desmiente las cifras sobre producción potencial de cocaína calculadas por la ONU. El documento circula en Washington. El asunto será clave en la reunión Petro-Trump.",": 1. Con el fin de evaluar y contrastar las críticas y cuestionamientos que están haciendo desde el gobierno a las cifras de cultivos de coca y producción potencial de cocaína que produce -UNODC, les solicito que hagan Presidente Simci Revista RAYA RAYA tuvo acceso a un documento confidencial del gobierno de que desmiente las cifras sobre producción potencial de cocaína calculadas por la ONU. El documento circula en Washington. El asunto será clave en la reunión Petro-Trump.",@MinjusticiaCo|@mindefensa|@petrogustavo|@revistaRAYA,,🚨,True,75,40,2,4200,3,high,"col_19,col_32,col_33","2,40,75",NEU,0.058486759662628174,0.5596763491630554,0.38183698058128357,Neutral,others,Otros,0.0021703809034079313,0.00037458728183992207,0.0010100160725414753,0.0004706878389697522,0.9932237863540649,0.0014814098831266165,0.0012691202573478222,neutral,Neutral Sobre SIMCI,NEU,Neutral
x-2026-02-09.csv,2019442124261863775,https://x.com/grok/status/2019442124261863775,https://x.com/grok/status/2019442124261863775/analytics,https://x.com/grok,Grok,@grok,Feb 5,2026-02-05,Replying to @JuanGui30871036 @petrogustavo and @TheEconomist,"@JuanGui30871036 @petrogustavo @TheEconomist Entiendo tu crítica sobre las metodologías. UNODC's SIMCI es un censo integral con satélites y encuestas (World Drug Report 2025 reporta récord global). Reportes de Policía Nacional son métricas operativas, enfocadas en erradicación, mostrando -56.9% en cultivos nuevos (informe","@JuanGui30871036 @petrogustavo @TheEconomist Entiendo tu crítica sobre las metodologías. UNODC's SIMCI es un censo integral con satélites y encuestas (World Drug Report 2025 reporta récord global). Reportes de Policía Nacional son métricas operativas, enfocadas en erradicación, mostrando -56.9% en cultivos nuevos (informe","Entiendo tu crítica sobre las metodologías. UNODC's SIMCI es un censo integral con satélites y encuestas (World Drug Report 2025 reporta récord global). Reportes de Policía Nacional son métricas operativas, enfocadas en erradicación, mostrando -56.9% en cultivos nuevos (informe",@JuanGui30871036|@TheEconomist|@petrogustavo,,,True,1,0,0,26,1,low,col_19,1,NEU,0.12793119251728058,0.7459205985069275,0.12614822387695312,Neutral,others,Otros,0.009203656576573849,0.0012186103267595172,0.0020321826450526714,0.0018330111633986235,0.9769708514213562,0.005474926438182592,0.0032666923943907022,neutral,Neutral Sobre SIMCI,NEU,Neutral
x-2026-02-09.csv,2019441799090053480,https://x.com/JuanGui30871036/status/2019441799090053480,https://x.com/JuanGui30871036/status/2019441799090053480/analytics,https://x.com/JuanGui30871036,Juan Guillermo Burgos Ramírez,@JuanGui30871036,Feb 5,2026-02-05,Replying to @grok @petrogustavo and @TheEconomist,"@grok @petrogustavo @TheEconomist Equiparar censo SIMCI ONU con reportes operativos de Policía es falta de rigor técnico. Los datos de parte no son censo, sino métricas de gestión. La verdad técnica no se promedia con PROPAGANDA. Cuando se trata de Petrosky, ingresas en un bucle de neutralidad defensiva.","@grok @petrogustavo @TheEconomist Equiparar censo SIMCI ONU con reportes operativos de Policía es falta de rigor técnico. Los datos de parte no son censo, sino métricas de gestión. La verdad técnica no se promedia con PROPAGANDA. Cuando se trata de Petrosky, ingresas en un bucle de neutralidad defensiva.","Equiparar censo SIMCI ONU con reportes operativos de Policía es falta de rigor técnico. Los datos de parte no son censo, sino métricas de gestión. La verdad técnica no se promedia con PROPAGANDA. Cuando se trata de Petrosky, ingresas en un bucle de neutralidad defensiva.",@TheEconomist|@grok|@petrogustavo,,,True,1,0,0,34,1,low,col_19,1,NEG,0.004255878739058971,0.058205634355545044,0.9375385046005249,Negativo,anger,Enojo,0.9482956528663635,0.03483816981315613,0.0009630430722609162,0.0002884674468077719,0.010226274840533733,0.004710076842457056,0.000678327982313931,neutral,Neutral Sobre SIMCI,NEG,Negativo
x-2026-02-09.csv,2019438641383112932,https://x.com/JuanGui30871036/status/2019438641383112932,https://x.com/JuanGui30871036/status/2019438641383112932/analytics,https://x.com/JuanGui30871036,Juan Guillermo Burgos Ramírez,@JuanGui30871036,Feb 5,2026-02-05,Replying to @grok @petrogustavo and @TheEconomist,"@grok @petrogustavo @TheEconomist No hay un debate técnico real; no existe otro organismo internacional con metodología superior que contradiga la ONU. Crítica reactiva; Petrosky cuestiona termómetro SIMCI cuando la fiebre (producción) sube, pero usa esos mismos datos cuando le favorecen. Resta objetividad.","@grok @petrogustavo @TheEconomist No hay un debate técnico real; no existe otro organismo internacional con metodología superior que contradiga la ONU. Crítica reactiva; Petrosky cuestiona termómetro SIMCI cuando la fiebre (producción) sube, pero usa esos mismos datos cuando le favorecen. Resta objetividad.","No hay un debate técnico real; no existe otro organismo internacional con metodología superior que contradiga la ONU. Crítica reactiva; Petrosky cuestiona termómetro SIMCI cuando la fiebre (producción) sube, pero usa esos mismos datos cuando le favorecen. Resta objetividad.",@TheEconomist|@grok|@petrogustavo,,,True,1,0,0,71,1,low,col_19,1,NEG,0.004472555126994848,0.051851656287908554,0.9436758160591125,Negativo,anger,Enojo,0.9217039346694946,0.03752387315034866,0.001823347876779735,0.00039134605322033167,0.029607877135276794,0.008017316460609436,0.0009322823025286198,neutral,Neutral Sobre SIMCI,NEG,Negativo
x-2026-02-09.csv,2018933702235930705,https://x.com/K92Luis/status/2018933702235930705,https://x.com/K92Luis/status/2018933702235930705/analytics,https://x.com/K92Luis,LuisK92,@K92Luis,Feb 4,2026-02-04,Replying to @AlvaroUribeVel,"@AlvaroUribeVel Expresidente, los datos de la ONU ( ) muestran que el aumento de cultivos es un fenómeno multicausal y no la decisión de un solo senador. Si tiene pruebas de que 28 mil hombres armados proclamaron una candidatura, el lugar para presentarlas es la Fiscalía, no las redes. SIMCI 🇨🇴 🇵🇸","@AlvaroUribeVel Expresidente, los datos de la ONU ( ) muestran que el aumento de cultivos es un fenómeno multicausal y no la decisión de un solo senador. Si tiene pruebas de que 28 mil hombres armados proclamaron una candidatura, el lugar para presentarlas es la Fiscalía, no las redes. SIMCI 🇨🇴 🇵🇸","Expresidente, los datos de la ONU ( ) muestran que el aumento de cultivos es un fenómeno multicausal y no la decisión de un solo senador. Si tiene pruebas de que 28 mil hombres armados proclamaron una candidatura, el lugar para presentarlas es la Fiscalía, no las redes. SIMCI",@AlvaroUribeVel,,🇨🇴🇵🇸,True,0,0,0,22,0,none,,,NEG,0.037887345999479294,0.41109204292297363,0.5510205626487732,Negativo,others,Otros,0.02371184527873993,0.003801825223490596,0.004380964208394289,0.0007231073104776442,0.9580543637275696,0.003358186688274145,0.005969653837382793,neutral,Neutral Sobre SIMCI,NEG,Negativo
x-2026-02-09.csv,2018831448594108560,https://x.com/Temasdepaz/status/2018831448594108560,https://x.com/Temasdepaz/status/2018831448594108560/analytics,https://x.com/Temasdepaz,Construcción de Paz,@Temasdepaz,Feb 3,2026-02-03,,El gobierno va a asignar a la Fundación San José para hacer el monitoreo de cultivos ilícitos que antes hacía el SIMCI,El gobierno va a asignar a la Fundación San José para hacer el monitoreo de cultivos ilícitos que antes hacía el SIMCI,El gobierno va a asignar a la Fundación San José para hacer el monitoreo de cultivos ilícitos que antes hacía el SIMCI,,,,True,0,0,0,21,0,none,,,NEU,0.07126674801111221,0.7685436606407166,0.16018956899642944,Neutral,others,Otros,0.002942841500043869,0.0009455586550757289,0.0011422117240726948,0.0022269021719694138,0.9888752698898315,0.0016044409712776542,0.002262759255245328,neutral,Neutral Sobre SIMCI,NEU,Neutral
x-2026-02-08.csv,2018725683162132891,https://x.com/DanielMejiaL/status/2018725683162132891,https://x.com/DanielMejiaL/status/2018725683162132891/analytics,https://x.com/DanielMejiaL,Daniel Mejia,@DanielMejiaL,Feb 3,2026-02-03,Replying to @EspinosaRadio @realDonaldTrump and 3 others,"@EspinosaRadio Las críticas y cuestionamientos que ha hecho el gobierno de @realDonaldTrump @petrogustavo a las cifras de SIMCI -UNODC, no son ciertas. El gobierno de se ha dedicado a propagar mentiras para criticar las cifras y la metodología de medición de SIMCI -UNODC. Le doy dos ejemplos.","@EspinosaRadio Las críticas y cuestionamientos que ha hecho el gobierno de @realDonaldTrump @petrogustavo a las cifras de SIMCI -UNODC, no son ciertas. El gobierno de se ha dedicado a propagar mentiras para criticar las cifras y la metodología de medición de SIMCI -UNODC. Le doy dos ejemplos.","Las críticas y cuestionamientos que ha hecho el gobierno de a las cifras de SIMCI -UNODC, no son ciertas. El gobierno de se ha dedicado a propagar mentiras para criticar las cifras y la metodología de medición de SIMCI -UNODC. Le doy dos ejemplos.",@EspinosaRadio|@petrogustavo|@realDonaldTrump,,,True,89,46,12,6400,3,high,"col_18,col_31,col_32","12,46,89",NEG,0.0036340297665446997,0.035262640565633774,0.9611033201217651,Negativo,anger,Enojo,0.5233541131019592,0.0334102138876915,0.0038734872359782457,0.0016637241933494806,0.4259892702102661,0.009985760785639286,0.0017234979895874858,neutral,Neutral Sobre SIMCI,NEG,Negativo
x-2026-02-09.csv,2018711486802133078,https://x.com/Wops29/status/2018711486802133078,https://x.com/Wops29/status/2018711486802133078/analytics,https://x.com/Wops29,Paso de vencedores.,@Wops29,Feb 3,2026-02-03,Replying to @petrogustavo,"@petrogustavo Vendiendo mentiras los datos dicen lo contrario el aumento es desmedido, incremento y números históricos. El mitómano llegando a la Casa Blanca y exponiendo datos falsos. SIMCI","@petrogustavo Vendiendo mentiras los datos dicen lo contrario el aumento es desmedido, incremento y números históricos. El mitómano llegando a la Casa Blanca y exponiendo datos falsos. SIMCI","Vendiendo mentiras los datos dicen lo contrario el aumento es desmedido, incremento y números históricos. El mitómano llegando a la Casa Blanca y exponiendo datos falsos. SIMCI",@petrogustavo,,,True,3,3,0,225,2,medium,"col_19,col_32","3,3",NEG,0.004664908163249493,0.03055787831544876,0.9647771716117859,Negativo,anger,Enojo,0.8568744659423828,0.12256654351949692,0.0021679087076336145,0.0007552639581263065,0.012266119942069054,0.003818826749920845,0.0015508749056607485,anti_simci,En Contra De SIMCI,NEG,Negativo
